# Logfile created on 2012-09-18 21:54:36 +0000 by logger.rb/31641
D, [2012-09-18T21:55:02.220439 #20607] DEBUG -- : Handle: udp_message_received: {"received":1348005302.2193263,"packet":"electricity_geyser 389777"}
D, [2012-09-18T21:55:02.221183 #20607] DEBUG -- : Handle: on_receive: {"received":1348005302.2193263,"packet":"electricity_geyser 389777","data_store":"30_camp_ground_road","source":"electricity_geyser","source_type":"pulse"}
D, [2012-09-18T21:55:02.221742 #20607] DEBUG -- : Handle: initialise_structured_message: {"received":1348005302.2193263,"packet":"electricity_geyser 389777","data_store":"30_camp_ground_road","source":"electricity_geyser","source_type":"pulse"}
D, [2012-09-18T21:55:02.242788 #20607] DEBUG -- : Handle: handle_pulse_specific_calculations: {"received":1348005302.2193263,"packet":"electricity_geyser 389777","data_store":"30_camp_ground_road","source":"electricity_geyser","source_type":"pulse","local_time":1348012502.2193263,"dimensions":{"all_time":0,"year":1325376000,"month":1346457600,"day":1347926400,"week":1347753600,"yday":1347926400,"hour":1348009200,"5minute":1348012500,"10minute":1348012200,"15minute":1348011900,"30minute":1348011000},"event_id":3129733,"float_value":389777.0,"integer_value":389777}
D, [2012-09-18T21:55:02.243750 #20607] DEBUG -- : Handle: after_received: {"received":1348005302.2193263,"packet":"electricity_geyser 389777","data_store":"30_camp_ground_road","source":"electricity_geyser","source_type":"pulse","local_time":1348012502.2193263,"dimensions":{"all_time":0,"year":1325376000,"month":1346457600,"day":1347926400,"week":1347753600,"yday":1347926400,"hour":1348009200,"5minute":1348012500,"10minute":1348012200,"15minute":1348011900,"30minute":1348011000},"event_id":3129733,"float_value":389777.0,"integer_value":389777,"converted_value":0}
D, [2012-09-18T21:55:02.889185 #20607] DEBUG -- : Handle: udp_message_received: {"received":1348005302.888112,"packet":"electricity_total 1331188"}
D, [2012-09-18T21:55:02.889888 #20607] DEBUG -- : Handle: on_receive: {"received":1348005302.888112,"packet":"electricity_total 1331188","data_store":"30_camp_ground_road","source":"electricity_total","source_type":"pulse"}
D, [2012-09-18T21:55:02.890394 #20607] DEBUG -- : Handle: initialise_structured_message: {"received":1348005302.888112,"packet":"electricity_total 1331188","data_store":"30_camp_ground_road","source":"electricity_total","source_type":"pulse"}
D, [2012-09-18T21:55:02.903257 #20607] DEBUG -- : Handle: handle_pulse_specific_calculations: {"received":1348005302.888112,"packet":"electricity_total 1331188","data_store":"30_camp_ground_road","source":"electricity_total","source_type":"pulse","local_time":1348012502.888112,"dimensions":{"all_time":0,"year":1325376000,"month":1346457600,"day":1347926400,"week":1347753600,"yday":1347926400,"hour":1348009200,"5minute":1348012500,"10minute":1348012200,"15minute":1348011900,"30minute":1348011000},"event_id":3129734,"float_value":1331188.0,"integer_value":1331188}
D, [2012-09-18T21:55:02.904215 #20607] DEBUG -- : Handle: after_received: {"received":1348005302.888112,"packet":"electricity_total 1331188","data_store":"30_camp_ground_road","source":"electricity_total","source_type":"pulse","local_time":1348012502.888112,"dimensions":{"all_time":0,"year":1325376000,"month":1346457600,"day":1347926400,"week":1347753600,"yday":1347926400,"hour":1348009200,"5minute":1348012500,"10minute":1348012200,"15minute":1348011900,"30minute":1348011000},"event_id":3129734,"float_value":1331188.0,"integer_value":1331188,"converted_value":2}
